month,at_risk,events,survival,cohort_dimension,cohort_value,cohort_size
63,85,2,0.27910487919066185,Contract,Month-to-month,3875
64,73,0,0.27910487919066185,Contract,Month-to-month,3875
65,62,4,0.2610981127912643,Contract,Month-to-month,3875
66,46,5,0.23271788314003994,Contract,Month-to-month,3875
67,35,1,0.22606880076461022,Contract,Month-to-month,3875
68,27,3,0.20095004512409798,Contract,Month-to-month,3875
69,17,3,0.1654882724551395,Contract,Month-to-month,3875
70,11,1,0.15044388405012682,Contract,Month-to-month,3875
71,7,1,0.12895190061439443,Contract,Month-to-month,3875
72,2,0,0.12895190061439443,Contract,Month-to-month,3875
0,1473,0,1.0,Contract,One year,1473
1,1472,0,1.0,Contract,One year,1473
2,1465,2,0.9986348122866894,Contract,One year,1473
3,1458,0,0.9986348122866894,Contract,One year,1473
4,1452,1,0.9979470472644534,Contract,One year,1473
5,1445,1,0.9972564264704987,Contract,One year,1473
6,1441,0,0.9972564264704987,Contract,One year,1473
7,1434,1,0.9965609896319558,Contract,One year,1473
8,1420,1,0.9958591861181305,Contract,One year,1473
9,1411,1,0.9951534035624124,Contract,One year,1473
10,1400,0,0.9951534035624124,Contract,One year,1473
11,1385,1,0.994434881249371,Contract,One year,1473
12,1371,5,0.9908082040748656,Contract,One year,1473
13,1349,1,0.990073728015507,Contract,One year,1473
14,1334,1,0.9893315438115973,Contract,One year,1473
15,1321,0,0.9893315438115973,Contract,One year,1473
16,1306,0,0.9893315438115973,Contract,One year,1473
17,1299,2,0.9878083235747819,Contract,One year,1473
18,1273,2,0.9862563859100925,Contract,One year,1473
19,1259,3,0.9839062912653503,Contract,One year,1473
20,1246,0,0.9839062912653503,Contract,One year,1473
21,1233,2,0.982310336210581,Contract,One year,1473
22,1220,4,0.979089646583661,Contract,One year,1473
23,1198,1,0.9782723764279151,Contract,One year,1473
24,1172,0,0.9782723764279151,Contract,One year,1473
25,1152,4,0.9748755973430959,Contract,One year,1473
26,1131,0,0.9748755973430959,Contract,One year,1473
27,1105,0,0.9748755973430959,Contract,One year,1473
28,1085,2,0.9730785916337077,Contract,One year,1473
29,1063,0,0.9730785916337077,Contract,One year,1473
30,1044,1,0.9721465240172003,Contract,One year,1473
31,1025,2,0.9702496527508252,Contract,One year,1473
32,1009,1,0.9692880574557302,Contract,One year,1473
33,990,5,0.9643926632261558,Contract,One year,1473
34,967,1,0.9633953595413304,Contract,One year,1473
35,949,3,0.960349852609166,Contract,One year,1473
36,921,1,0.9593071274706111,Contract,One year,1473
37,902,1,0.9582435940698676,Contract,One year,1473
38,883,4,0.9539027397365952,Contract,One year,1473
39,862,4,0.949476276907191,Contract,One year,1473
40,840,2,0.947215619105031,Contract,One year,1473
41,819,4,0.9425894133951164,Contract,One year,1473
42,791,2,0.9402061278998064,Contract,One year,1473
43,770,3,0.9365429871417552,Contract,One year,1473
44,747,2,0.9340355092645349,Contract,One year,1473
45,724,3,0.930165196380842,Contract,One year,1473
46,704,4,0.9248801668559509,Contract,One year,1473
47,681,1,0.9235220461997747,Contract,One year,1473
48,662,5,0.9165468041589909,Contract,One year,1473
49,634,4,0.9107641744797544,Contract,One year,1473
50,612,1,0.9092759977240685,Contract,One year,1473
51,581,2,0.9061459598661544,Contract,One year,1473
52,546,2,0.9028267438959487,Contract,One year,1473
53,519,7,0.8906498899320342,Contract,One year,1473
54,483,7,0.8777419205127294,Contract,One year,1473
55,460,2,0.8739256512931088,Contract,One year,1473
56,438,6,0.8619540670288196,Contract,One year,1473
57,402,1,0.8598099026829767,Contract,One year,1473
58,385,6,0.8464102678359693,Contract,One year,1473
59,357,3,0.8392975765096167,Contract,One year,1473
60,337,3,0.8318260847305994,Contract,One year,1473
61,313,2,0.8265109020805637,Contract,One year,1473
62,283,4,0.8148287691889656,Contract,One year,1473
63,257,2,0.8084876892730982,Contract,One year,1473
64,236,2,0.8016360986860381,Contract,One year,1473
65,207,3,0.7900181842123275,Contract,One year,1473
66,189,5,0.7691182322490384,Contract,One year,1473
67,154,6,0.7391525868367382,Contract,One year,1473
68,120,4,0.7145141672755136,Contract,One year,1473
69,95,3,0.691950561993129,Contract,One year,1473
70,72,5,0.643898439632495,Contract,One year,1473
71,45,0,0.643898439632495,Contract,One year,1473
72,17,2,0.5681456820286721,Contract,One year,1473
0,1695,0,1.0,Contract,Two year,1695
1,1685,0,1.0,Contract,Two year,1695
2,1683,0,1.0,Contract,Two year,1695
3,1682,0,1.0,Contract,Two year,1695
4,1679,0,1.0,Contract,Two year,1695
5,1675,0,1.0,Contract,Two year,1695
6,1674,0,1.0,Contract,Two year,1695
7,1666,0,1.0,Contract,Two year,1695
8,1662,0,1.0,Contract,Two year,1695
9,1649,0,1.0,Contract,Two year,1695
10,1646,0,1.0,Contract,Two year,1695
11,1641,0,1.0,Contract,Two year,1695
12,1636,0,1.0,Contract,Two year,1695
13,1627,0,1.0,Contract,Two year,1695
14,1616,0,1.0,Contract,Two year,1695
15,1609,0,1.0,Contract,Two year,1695
16,1604,0,1.0,Contract,Two year,1695
17,1597,0,1.0,Contract,Two year,1695
18,1593,0,1.0,Contract,Two year,1695
19,1587,0,1.0,Contract,Two year,1695
20,1579,0,1.0,Contract,Two year,1695
21,1575,0,1.0,Contract,Two year,1695
22,1569,0,1.0,Contract,Two year,1695
23,1565,0,1.0,Contract,Two year,1695
24,1553,0,1.0,Contract,Two year,1695
25,1537,1,0.9993493819128172,Contract,Two year,1695
26,1528,0,0.9993493819128172,Contract,Two year,1695
27,1524,0,0.9993493819128172,Contract,Two year,1695
28,1513,0,0.9993493819128172,Contract,Two year,1695
29,1512,0,0.9993493819128172,Contract,Two year,1695
30,1507,0,0.9993493819128172,Contract,Two year,1695
31,1497,0,0.9993493819128172,Contract,Two year,1695
32,1488,0,0.9993493819128172,Contract,Two year,1695
33,1484,1,0.9986759658872695,Contract,Two year,1695
34,1474,0,0.9986759658872695,Contract,Two year,1695
35,1467,0,0.9986759658872695,Contract,Two year,1695
36,1450,0,0.9986759658872695,Contract,Two year,1695
37,1441,0,0.9986759658872695,Contract,Two year,1695
38,1430,0,0.9986759658872695,Contract,Two year,1695
39,1419,1,0.9979721773278,Contract,Two year,1695
40,1406,0,0.9979721773278,Contract,Two year,1695
41,1397,0,0.9979721773278,Contract,Two year,1695
42,1384,0,0.9979721773278,Contract,Two year,1695
43,1371,1,0.997244261808232,Contract,Two year,1695
44,1358,0,0.997244261808232,Contract,Two year,1695
45,1350,0,0.997244261808232,Contract,Two year,1695
46,1331,1,0.9964950174342213,Contract,Two year,1695
47,1306,0,0.9964950174342213,Contract,Two year,1695
48,1284,1,0.9957189309720451,Contract,Two year,1695
49,1263,1,0.9949305549380213,Contract,Two year,1695
50,1248,1,0.9941333349420773,Contract,Two year,1695
51,1230,0,0.9941333349420773,Contract,Two year,1695
52,1215,1,0.9933151182054996,Contract,Two year,1695
53,1186,1,0.9924775843790193,Contract,Two year,1695
54,1168,1,0.9916278604197908,Contract,Two year,1695
55,1140,1,0.9907580114194225,Contract,Two year,1695
56,1122,1,0.9898749828887458,Contract,Two year,1695
57,1097,2,0.9880702882982467,Contract,Two year,1695
58,1069,1,0.9871459942960968,Contract,Two year,1695
59,1043,1,0.9861995455959088,Contract,Two year,1695
60,1019,0,0.9861995455959088,Contract,Two year,1695
61,986,3,0.9831989384592073,Contract,Two year,1695
62,954,0,0.9831989384592073,Contract,Two year,1695
63,919,0,0.9831989384592073,Contract,Two year,1695
64,880,2,0.9809643954172544,Contract,Two year,1695
65,840,2,0.9786287659043562,Contract,Two year,1695
66,798,3,0.9749497103934376,Contract,Two year,1695
67,755,3,0.9710757380342583,Contract,Two year,1695
68,699,2,0.9682972666807983,Contract,Two year,1695
69,634,2,0.9652427011707643,Contract,Two year,1695
70,568,5,0.956745846406937,Contract,Two year,1695
71,480,5,0.9467797438401981,Contract,Two year,1695
72,343,4,0.9357385806467264,Contract,Two year,1695
0,2421,0,1.0,InternetService,DSL,2421
1,2416,119,0.9507450331125827,InternetService,DSL,2421
2,2204,43,0.932196014771457,InternetService,DSL,2421
3,2122,32,0.9181383934365435,InternetService,DSL,2421
4,2051,25,0.9069470429558445,InternetService,DSL,2421
5,1990,17,0.899199254146674,InternetService,DSL,2421
6,1947,10,0.8945808707150014,InternetService,DSL,2421
7,1911,8,0.890835895850679,InternetService,DSL,2421
8,1865,7,0.8874922758662529,InternetService,DSL,2421
9,1822,16,0.8796987103262639,InternetService,DSL,2421
10,1783,8,0.8757516605884007,InternetService,DSL,2421
11,1746,5,0.8732437806898085,InternetService,DSL,2421
12,1712,10,0.8681430576717605,InternetService,DSL,2421
13,1671,8,0.8639867773238407,InternetService,DSL,2421
14,1630,4,0.8618665643733527,InternetService,DSL,2421
15,1603,8,0.8575652964288818,InternetService,DSL,2421
16,1576,6,0.854300453929787,InternetService,DSL,2421
17,1556,4,0.8521043088040035,InternetService,DSL,2421
18,1529,8,0.8476459474760557,InternetService,DSL,2421
19,1495,3,0.8459449857085453,InternetService,DSL,2421
20,1469,2,0.8447932566606099,InternetService,DSL,2421
21,1452,4,0.8424660025100297,InternetService,DSL,2421
22,1429,12,0.8353914104665584,InternetService,DSL,2421
23,1399,1,0.8347942757914572,InternetService,DSL,2421
24,1371,6,0.8311409091577965,InternetService,DSL,2421
25,1335,3,0.8292731767776667,InternetService,DSL,2421
26,1311,1,0.8286406266809636,InternetService,DSL,2421
27,1281,2,0.8273468864363407,InternetService,DSL,2421
28,1257,0,0.8273468864363407,InternetService,DSL,2421
29,1236,3,0.8253387629255728,InternetService,DSL,2421
30,1207,4,0.8226035888976505,InternetService,DSL,2421
31,1181,4,0.8198174632790302,InternetService,DSL,2421
32,1158,0,0.8198174632790302,InternetService,DSL,2421
33,1143,1,0.819100212654989,InternetService,DSL,2421
34,1123,2,0.8176414411275535,InternetService,DSL,2421
35,1102,3,0.815415556986553,InternetService,DSL,2421
36,1074,1,0.8146563246243681,InternetService,DSL,2421
37,1054,3,0.8123375684821735,InternetService,DSL,2421
38,1032,4,0.8091889732554984,InternetService,DSL,2421
39,1015,5,0.8052028206778852,InternetService,DSL,2421
40,993,4,0.8019593047839159,InternetService,DSL,2421
41,969,3,0.799476458639074,InternetService,DSL,2421
42,945,3,0.796938438135458,InternetService,DSL,2421
43,921,3,0.7943425474574923,InternetService,DSL,2421
44,896,2,0.7925694614140604,InternetService,DSL,2421
45,878,2,0.7907640640076502,InternetService,DSL,2421
46,856,3,0.7879926946244459,InternetService,DSL,2421
47,832,0,0.7879926946244459,InternetService,DSL,2421
48,813,3,0.7850849725040605,InternetService,DSL,2421
49,788,3,0.7820960703244766,InternetService,DSL,2421
50,765,0,0.7820960703244766,InternetService,DSL,2421
51,745,1,0.7810462769414908,InternetService,DSL,2421
52,724,1,0.7799674837412953,InternetService,DSL,2421
53,693,3,0.7765910011276966,InternetService,DSL,2421
54,672,3,0.7731240770155194,InternetService,DSL,2421
55,646,2,0.7707305040216633,InternetService,DSL,2421
56,623,0,0.7707305040216633,InternetService,DSL,2421
57,601,3,0.7668832635689762,InternetService,DSL,2421
58,573,2,0.7642065331551229,InternetService,DSL,2421
59,551,1,0.7628195884488522,InternetService,DSL,2421
60,530,1,0.7613803062064959,InternetService,DSL,2421
61,503,0,0.7613803062064959,InternetService,DSL,2421
62,478,0,0.7613803062064959,InternetService,DSL,2421
63,457,0,0.7613803062064959,InternetService,DSL,2421
64,432,2,0.7578553973814658,InternetService,DSL,2421
65,409,2,0.7541495030177422,InternetService,DSL,2421
66,388,2,0.7502621344454858,InternetService,DSL,2421
67,352,1,0.7481307079271748,InternetService,DSL,2421
68,318,1,0.7457780956380957,InternetService,DSL,2421
69,277,1,0.7430857559426512,InternetService,DSL,2421
70,247,2,0.7370688672305651,InternetService,DSL,2421
71,195,1,0.733289026885793,InternetService,DSL,2421
72,133,2,0.7222621242258562,InternetService,DSL,2421
0,3096,0,1.0,InternetService,Fiber optic,3096
1,3096,203,0.9344315245478036,InternetService,Fiber optic,3096
2,2861,74,0.9102623764119989,InternetService,Fiber optic,3096
3,2752,56,0.8917395954966384,InternetService,Fiber optic,3096
4,2662,55,0.8733152236888566,InternetService,Fiber optic,3096
5,2585,43,0.8587881232561213,InternetService,Fiber optic,3096
6,2520,29,0.84890524405992,InternetService,Fiber optic,3096
7,2476,40,0.835191104414364,InternetService,Fiber optic,3096
8,2416,32,0.8241289705810612,InternetService,Fiber optic,3096
9,2367,28,0.814380085419984,InternetService,Fiber optic,3096
10,2308,37,0.8013245987819686,InternetService,Fiber optic,3096
11,2258,22,0.7935171846220026,InternetService,Fiber optic,3096
12,2216,26,0.7842069649468347,InternetService,Fiber optic,3096
13,2173,30,0.7733803616571868,InternetService,Fiber optic,3096
14,2128,20,0.7661117492355967,InternetService,Fiber optic,3096
15,2094,25,0.7569652383803483,InternetService,Fiber optic,3096
16,2049,20,0.7495766074542346,InternetService,Fiber optic,3096
17,2008,21,0.7417374098663169,InternetService,Fiber optic,3096
18,1968,15,0.7360839235106285,InternetService,Fiber optic,3096
19,1926,16,0.7299689999508309,InternetService,Fiber optic,3096
20,1898,15,0.72420001417672,InternetService,Fiber optic,3096
21,1864,13,0.7191492630048867,InternetService,Fiber optic,3096
22,1835,15,0.7132706586751465,InternetService,Fiber optic,3096
23,1796,12,0.708504930443464,InternetService,Fiber optic,3096
24,1760,17,0.7016614169107714,InternetService,Fiber optic,3096
25,1724,18,0.6943354856437216,InternetService,Fiber optic,3096
26,1693,14,0.6885937864121728,InternetService,Fiber optic,3096
27,1657,11,0.6840225542754595,InternetService,Fiber optic,3096
28,1627,12,0.6789775200706006,InternetService,Fiber optic,3096
29,1599,12,0.6738820039725099,InternetService,Fiber optic,3096
30,1570,11,0.6691605377026387,InternetService,Fiber optic,3096
31,1536,11,0.6643683723935703,InternetService,Fiber optic,3096
32,1503,19,0.6559698367478765,InternetService,Fiber optic,3096
33,1461,12,0.6505819941462512,InternetService,Fiber optic,3096
34,1431,10,0.6460356489740202,InternetService,Fiber optic,3096
35,1398,12,0.6404902785965608,InternetService,Fiber optic,3096
36,1363,9,0.6362610691267376,InternetService,Fiber optic,3096
37,1343,12,0.6305759367145851,InternetService,Fiber optic,3096
38,1314,9,0.6262569234494167,InternetService,Fiber optic,3096
39,1288,9,0.621880904574382,InternetService,Fiber optic,3096
40,1266,9,0.61745995027646,InternetService,Fiber optic,3096
41,1238,11,0.6119736340785269,InternetService,Fiber optic,3096
42,1207,11,0.6063964095757399,InternetService,Fiber optic,3096
43,1180,12,0.6002296664275121,InternetService,Fiber optic,3096
44,1149,4,0.5981400940465634,InternetService,Fiber optic,3096
45,1128,3,0.5965492959240992,InternetService,Fiber optic,3096
46,1101,9,0.5916728711617769,InternetService,Fiber optic,3096
47,1069,14,0.5839241151315946,InternetService,Fiber optic,3096
48,1037,6,0.5805455763748062,InternetService,Fiber optic,3096
49,1014,12,0.5736752145242168,InternetService,Fiber optic,3096
50,980,10,0.5678213858045819,InternetService,Fiber optic,3096
51,946,7,0.5636197476432372,InternetService,Fiber optic,3096
52,914,7,0.5593031850245254,InternetService,Fiber optic,3096
53,882,9,0.5535960096671323,InternetService,Fiber optic,3096
54,851,10,0.547090768660468,InternetService,Fiber optic,3096
55,819,7,0.5424147791847376,InternetService,Fiber optic,3096
56,790,8,0.5369219712942592,InternetService,Fiber optic,3096
57,747,5,0.5333281160647126,InternetService,Fiber optic,3096
58,722,9,0.5266799816539337,InternetService,Fiber optic,3096
59,692,6,0.522113392217628,InternetService,Fiber optic,3096
60,665,5,0.518187727614488,InternetService,Fiber optic,3096
61,628,7,0.5124117497589125,InternetService,Fiber optic,3096
62,593,5,0.5080912459666788,InternetService,Fiber optic,3096
63,561,4,0.5044684919847416,InternetService,Fiber optic,3096
64,528,2,0.5025576264847994,InternetService,Fiber optic,3096
65,487,7,0.4953340055702335,InternetService,Fiber optic,3096
66,444,11,0.48306221714394393,InternetService,Fiber optic,3096
67,404,9,0.472300930128361,InternetService,Fiber optic,3096
68,360,8,0.4618053539032863,InternetService,Fiber optic,3096
69,319,7,0.45167169409976593,InternetService,Fiber optic,3096
70,277,9,0.43699644050085656,InternetService,Fiber optic,3096
71,230,5,0.42749651788127274,InternetService,Fiber optic,3096
72,163,4,0.4170058057860268,InternetService,Fiber optic,3096
0,1526,0,1.0,InternetService,No,1526
1,1520,58,0.9618421052631579,InternetService,No,1526
2,1354,6,0.9575798802767629,InternetService,No,1526
3,1307,6,0.9531839512165788,InternetService,No,1526
4,1268,3,0.950928784139568,InternetService,No,1526
5,1230,4,0.9478363328090328,InternetService,No,1526
6,1205,1,0.9470497466407265,InternetService,No,1526
7,1175,3,0.9446317472876012,InternetService,No,1526
8,1150,3,0.9421674905555466,InternetService,No,1526
9,1119,2,0.9404835450853848,InternetService,No,1526
10,1098,0,0.9404835450853848,InternetService,No,1526
11,1069,4,0.9369644298558791,InternetService,No,1526
12,1046,2,0.935172910869539,InternetService,No,1526
13,1013,0,0.935172910869539,InternetService,No,1526
14,990,0,0.935172910869539,InternetService,No,1526
15,975,4,0.9313363040557152,InternetService,No,1526
16,948,2,0.929371459532391,InternetService,No,1526
17,929,1,0.928371059683594,InternetService,No,1526
18,909,1,0.9273497493869124,InternetService,No,1526
19,888,0,0.9273497493869124,InternetService,No,1526
20,869,1,0.9262826035303107,InternetService,No,1526
21,849,0,0.9262826035303107,InternetService,No,1526
22,838,0,0.9262826035303107,InternetService,No,1526
23,817,0,0.9262826035303107,InternetService,No,1526
24,796,0,0.9262826035303107,InternetService,No,1526
25,774,2,0.9238891084307491,InternetService,No,1526
26,750,0,0.9238891084307491,InternetService,No,1526
27,737,0,0.9238891084307491,InternetService,No,1526
28,719,0,0.9238891084307491,InternetService,No,1526
29,711,0,0.9238891084307491,InternetService,No,1526
30,697,1,0.9225635860370177,InternetService,No,1526
31,685,1,0.9212167778822191,InternetService,No,1526
32,676,0,0.9212167778822191,InternetService,No,1526
33,664,1,0.9198294032167338,InternetService,No,1526
34,650,0,0.9198294032167338,InternetService,No,1526
35,639,0,0.9198294032167338,InternetService,No,1526
36,614,0,0.9198294032167338,InternetService,No,1526
37,604,0,0.9198294032167338,InternetService,No,1526
38,590,0,0.9198294032167338,InternetService,No,1526
39,574,0,0.9198294032167338,InternetService,No,1526
40,562,0,0.9198294032167338,InternetService,No,1526
41,550,0,0.9198294032167338,InternetService,No,1526
42,535,0,0.9198294032167338,InternetService,No,1526
43,521,0,0.9198294032167338,InternetService,No,1526
44,512,0,0.9198294032167338,InternetService,No,1526
45,500,1,0.9179897444103003,InternetService,No,1526
46,488,0,0.9179897444103003,InternetService,No,1526
47,470,0,0.9179897444103003,InternetService,No,1526
48,453,0,0.9179897444103003,InternetService,No,1526
49,437,0,0.9179897444103003,InternetService,No,1526
50,428,0,0.9179897444103003,InternetService,No,1526
51,414,0,0.9179897444103003,InternetService,No,1526
52,399,0,0.9179897444103003,InternetService,No,1526
53,382,2,0.9131835153819742,InternetService,No,1526
54,364,0,0.9131835153819742,InternetService,No,1526
55,354,0,0.9131835153819742,InternetService,No,1526
56,342,2,0.9078432609060563,InternetService,No,1526
57,327,0,0.9078432609060563,InternetService,No,1526
58,315,0,0.9078432609060563,InternetService,No,1526
59,300,1,0.9048171167030361,InternetService,No,1526
60,288,0,0.9048171167030361,InternetService,No,1526
61,276,1,0.9015387938164309,InternetService,No,1526
62,260,0,0.9015387938164309,InternetService,No,1526
63,243,0,0.9015387938164309,InternetService,No,1526
64,229,0,0.9015387938164309,InternetService,No,1526
65,213,0,0.9015387938164309,InternetService,No,1526
66,201,0,0.9015387938164309,InternetService,No,1526
67,188,0,0.9015387938164309,InternetService,No,1526
68,168,0,0.9015387938164309,InternetService,No,1526
69,150,0,0.9015387938164309,InternetService,No,1526
70,127,0,0.9015387938164309,InternetService,No,1526
71,107,0,0.9015387938164309,InternetService,No,1526
72,66,0,0.9015387938164309,InternetService,No,1526
0,1761,0,1.0,risk_segment,At-risk,1761
1,1761,318,0.8194207836456558,risk_segment,At-risk,1761
2,1332,110,0.751750899110354,risk_segment,At-risk,1761
3,1164,76,0.7026675070722209,risk_segment,At-risk,1761
4,1039,63,0.6600611038522499,risk_segment,At-risk,1761
5,945,50,0.6251372359235594,risk_segment,At-risk,1761
6,871,30,0.6036055286012784,risk_segment,At-risk,1761
7,825,38,0.575803092132371,risk_segment,At-risk,1761
8,770,32,0.551873612978818,risk_segment,At-risk,1761
9,722,29,0.5297069443134639,risk_segment,At-risk,1761
10,665,38,0.4994379760669802,risk_segment,At-risk,1761
11,618,20,0.4832749347703142,risk_segment,At-risk,1761
12,581,23,0.4641435690220918,risk_segment,At-risk,1761
13,543,30,0.4385002779158989,risk_segment,At-risk,1761
14,503,19,0.4219366491278232,risk_segment,At-risk,1761
15,473,23,0.4014196450476119,risk_segment,At-risk,1761
16,435,19,0.3838863731949576,risk_segment,At-risk,1761
17,403,15,0.36959779851028174,risk_segment,At-risk,1761
18,379,15,0.3549699173027508,risk_segment,At-risk,1761
19,352,12,0.3428686701219752,risk_segment,At-risk,1761
20,335,12,0.33058680731163576,risk_segment,At-risk,1761
21,317,12,0.31807248022097445,risk_segment,At-risk,1761
22,297,8,0.3095048713261334,risk_segment,At-risk,1761
23,282,9,0.29962705628381003,risk_segment,At-risk,1761
24,264,14,0.28373774269300195,risk_segment,At-risk,1761
25,241,13,0.2684323872780267,risk_segment,At-risk,1761
26,227,9,0.25778969350929437,risk_segment,At-risk,1761
27,211,8,0.2480156766937761,risk_segment,At-risk,1761
28,201,7,0.2393783148188685,risk_segment,At-risk,1761
29,191,8,0.2293519979678164,risk_segment,At-risk,1761
30,175,7,0.22017791804910375,risk_segment,At-risk,1761
31,162,6,0.2120231803435814,risk_segment,At-risk,1761
32,149,9,0.19921641106108318,risk_segment,At-risk,1761
33,134,4,0.19326965252194636,risk_segment,At-risk,1761
34,126,4,0.18713410799744012,risk_segment,At-risk,1761
35,118,6,0.17761881437045166,risk_segment,At-risk,1761
36,110,7,0.16631579891051382,risk_segment,At-risk,1761
37,102,9,0.15164087547723318,risk_segment,At-risk,1761
38,91,3,0.1466417257362255,risk_segment,At-risk,1761
39,83,3,0.14134142239636194,risk_segment,At-risk,1761
40,77,4,0.13399901084330418,risk_segment,At-risk,1761
41,69,5,0.12428893759378938,risk_segment,At-risk,1761
42,62,5,0.11426563617493539,risk_segment,At-risk,1761
43,54,3,0.10791754527632787,risk_segment,At-risk,1761
44,48,1,0.10566926308307104,risk_segment,At-risk,1761
45,46,0,0.10566926308307104,risk_segment,At-risk,1761
46,46,1,0.1033721051899608,risk_segment,At-risk,1761
47,43,3,0.09616009785112632,risk_segment,At-risk,1761
48,36,0,0.09616009785112632,risk_segment,At-risk,1761
49,35,3,0.0879178037496012,risk_segment,At-risk,1761
50,31,3,0.07940962919318818,risk_segment,At-risk,1761
51,26,2,0.07330119617832756,risk_segment,At-risk,1761
52,24,2,0.06719276316346692,risk_segment,At-risk,1761
53,20,2,0.060473486847120235,risk_segment,At-risk,1761
54,18,2,0.05375421053077354,risk_segment,At-risk,1761
55,16,2,0.047034934214426845,risk_segment,At-risk,1761
56,14,0,0.047034934214426845,risk_segment,At-risk,1761
57,13,0,0.047034934214426845,risk_segment,At-risk,1761
58,13,1,0.04341686235177863,risk_segment,At-risk,1761
59,11,0,0.04341686235177863,risk_segment,At-risk,1761
60,11,1,0.039469874865253295,risk_segment,At-risk,1761
61,9,1,0.03508433321355848,risk_segment,At-risk,1761
62,8,0,0.03508433321355848,risk_segment,At-risk,1761
63,7,1,0.030072285611621556,risk_segment,At-risk,1761
64,5,0,0.030072285611621556,risk_segment,At-risk,1761
65,5,0,0.030072285611621556,risk_segment,At-risk,1761
66,4,0,0.030072285611621556,risk_segment,At-risk,1761
67,3,0,0.030072285611621556,risk_segment,At-risk,1761
68,3,2,0.010024095203873854,risk_segment,At-risk,1761
69,1,0,0.010024095203873854,risk_segment,At-risk,1761
70,1,1,0.0,risk_segment,At-risk,1761
71,0,0,0.0,risk_segment,At-risk,1761
