customerID,Contract,tenure,tenure_bucket,PaymentMethod,InternetService,MonthlyCharges,service_count,churn,churn_probability,risk_segment,shap_explanation
4102-OQUPX,Month-to-month,1,0-6,Electronic check,Fiber optic,74.4,2,1,0.86786664,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
1833-VGRUM,Month-to-month,1,0-6,Electronic check,Fiber optic,74.2,2,1,0.86729884,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
2609-IAICY,Month-to-month,1,0-6,Electronic check,Fiber optic,77.15,2,1,0.86611664,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
8473-VUVJN,Month-to-month,1,0-6,Electronic check,Fiber optic,73.65,2,1,0.8657014,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
6567-HOOPW,Month-to-month,1,0-6,Electronic check,Fiber optic,79.2,2,1,0.8653943,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.36)"
6513-EECDB,Month-to-month,1,0-6,Electronic check,Fiber optic,73.55,2,1,0.86495715,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
8580-AECUZ,Month-to-month,1,0-6,Electronic check,Fiber optic,79.1,2,1,0.8641971,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.35)"
3178-FESZO,Month-to-month,1,0-6,Credit card (automatic),Fiber optic,100.25,5,1,0.86394984,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.65); MonthlyCharges (+risk, SHAP +0.49)"
0021-IKXGC,Month-to-month,1,0-6,Electronic check,Fiber optic,72.1,2,0,0.8635406,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
6230-BSUXY,Month-to-month,1,0-6,Electronic check,Fiber optic,85.0,3,1,0.862496,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
3158-MOERK,Month-to-month,2,0-6,Electronic check,Fiber optic,96.0,4,1,0.8624192,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.57); MonthlyCharges (+risk, SHAP +0.38)"
6023-YEBUP,Month-to-month,3,0-6,Electronic check,Fiber optic,100.95,5,1,0.8591977,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.51); MonthlyCharges (+risk, SHAP +0.45)"
7577-SWIFR,Month-to-month,1,0-6,Electronic check,Fiber optic,89.25,3,0,0.8585798,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
1455-ESIQH,Month-to-month,1,0-6,Electronic check,Fiber optic,89.1,3,1,0.8585798,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
7274-RTAPZ,Month-to-month,1,0-6,Electronic check,Fiber optic,90.55,3,1,0.8585798,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
0970-ETWGE,Month-to-month,1,0-6,Electronic check,Fiber optic,89.55,3,1,0.8585798,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
3027-ZTDHO,Month-to-month,1,0-6,Electronic check,Fiber optic,89.9,3,1,0.8585798,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
4273-MBHYA,Month-to-month,1,0-6,Electronic check,Fiber optic,89.35,3,0,0.8583231,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
3722-WPXTK,Month-to-month,1,0-6,Electronic check,Fiber optic,88.35,3,1,0.8581596,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
2725-KXXWT,Month-to-month,1,0-6,Electronic check,Fiber optic,90.75,3,1,0.8578026,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
2514-GINMM,Month-to-month,1,0-6,Electronic check,Fiber optic,79.5,2,1,0.8570592,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
5960-WPXQM,Month-to-month,1,0-6,Electronic check,Fiber optic,79.05,2,1,0.8570592,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
1761-AEZZR,Month-to-month,1,0-6,Electronic check,Fiber optic,79.55,2,1,0.8570592,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
8740-CRYFY,Month-to-month,1,0-6,Electronic check,Fiber optic,78.95,2,1,0.8570592,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
5597-GLBUC,Month-to-month,1,0-6,Electronic check,Fiber optic,85.45,3,1,0.856989,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.31)"
9300-RENDD,Month-to-month,1,0-6,Electronic check,Fiber optic,79.95,2,1,0.85677755,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
7439-DKZTW,Month-to-month,1,0-6,Electronic check,Fiber optic,80.55,2,0,0.85677755,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
5494-HECPR,Month-to-month,1,0-6,Electronic check,Fiber optic,80.25,2,1,0.85677755,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
8058-INTPH,Month-to-month,1,0-6,Electronic check,Fiber optic,79.65,2,1,0.85677755,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
9057-SIHCH,Month-to-month,3,0-6,Electronic check,Fiber optic,96.6,4,1,0.8561565,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.52); MonthlyCharges (+risk, SHAP +0.39)"
0318-QUUOB,Month-to-month,1,0-6,Electronic check,Fiber optic,80.55,2,1,0.85599214,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
9787-XVQIU,Month-to-month,1,0-6,Electronic check,Fiber optic,75.3,2,1,0.85571873,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
5834-ASPWA,Month-to-month,1,0-6,Electronic check,Fiber optic,75.45,2,1,0.85571873,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
4614-NUVZD,Month-to-month,1,0-6,Electronic check,Fiber optic,81.1,2,1,0.8545378,At-risk,"tenure (+risk, SHAP +0.84); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
2004-OCQXK,Month-to-month,1,0-6,Electronic check,Fiber optic,81.95,2,1,0.8545378,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
9725-SCPZG,Month-to-month,1,0-6,Electronic check,Fiber optic,90.85,3,1,0.85448366,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
2202-CUYXZ,Month-to-month,1,0-6,Electronic check,Fiber optic,84.85,3,1,0.85419524,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.31)"
5919-TMRGD,Month-to-month,1,0-6,Electronic check,Fiber optic,79.35,2,1,0.85411566,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.34)"
8816-VXNZD,Month-to-month,1,0-6,Electronic check,Fiber optic,75.1,2,1,0.85401285,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.31)"
0495-RVCBF,Month-to-month,1,0-6,Electronic check,Fiber optic,79.7,2,1,0.8537962,At-risk,"tenure (+risk, SHAP +0.84); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
1941-HOSAM,Month-to-month,1,0-6,Electronic check,Fiber optic,90.1,3,0,0.85359687,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
6457-USBER,Month-to-month,1,0-6,Electronic check,Fiber optic,80.8,2,1,0.8535271,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
9681-OXGVC,Month-to-month,5,0-6,Electronic check,Fiber optic,100.5,5,1,0.8533003,At-risk,"Contract=Month-to-month (+risk, SHAP +0.62); MonthlyCharges (+risk, SHAP +0.48); tenure (+risk, SHAP +0.44)"
7594-RQHXR,Month-to-month,1,0-6,Electronic check,Fiber optic,79.6,2,1,0.85328895,At-risk,"tenure (+risk, SHAP +0.84); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
2868-MZAGQ,Month-to-month,1,0-6,Electronic check,Fiber optic,79.25,2,1,0.85306937,At-risk,"tenure (+risk, SHAP +0.83); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.33)"
7024-OHCCK,Month-to-month,2,0-6,Electronic check,Fiber optic,93.85,4,1,0.8530513,At-risk,"Contract=Month-to-month (+risk, SHAP +0.64); tenure (+risk, SHAP +0.57); InternetService=Fiber optic (+risk, SHAP +0.20)"
6358-LYNGM,Month-to-month,1,0-6,Electronic check,Fiber optic,74.9,2,1,0.85273165,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
1452-VOQCH,Month-to-month,1,0-6,Electronic check,Fiber optic,75.1,2,0,0.85273165,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
1157-BQCUW,Month-to-month,1,0-6,Electronic check,Fiber optic,74.95,2,1,0.85273165,At-risk,"tenure (+risk, SHAP +0.79); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
4415-IJZTP,Month-to-month,1,0-6,Electronic check,Fiber optic,74.5,2,1,0.85229707,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.31)"
9124-LHCJQ,Month-to-month,1,0-6,Mailed check,Fiber optic,85.45,3,1,0.85158086,At-risk,"tenure (+risk, SHAP +0.89); Contract=Month-to-month (+risk, SHAP +0.70); TotalCharges (+risk, SHAP +0.28)"
2018-QKYGT,Month-to-month,1,0-6,Electronic check,Fiber optic,81.05,2,0,0.8506308,At-risk,"tenure (+risk, SHAP +0.84); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.32)"
7493-TPUWZ,Month-to-month,1,0-6,Electronic check,Fiber optic,79.15,3,1,0.84975827,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.29)"
4424-TKOPW,Month-to-month,2,0-6,Electronic check,Fiber optic,93.85,4,1,0.8483152,At-risk,"Contract=Month-to-month (+risk, SHAP +0.64); tenure (+risk, SHAP +0.56); InternetService=Fiber optic (+risk, SHAP +0.20)"
2720-WGKHP,Month-to-month,2,0-6,Electronic check,Fiber optic,94.0,4,1,0.84803474,At-risk,"Contract=Month-to-month (+risk, SHAP +0.64); tenure (+risk, SHAP +0.56); InternetService=Fiber optic (+risk, SHAP +0.20)"
7181-BQYBV,Month-to-month,1,0-6,Electronic check,Fiber optic,102.45,6,1,0.84552985,At-risk,"tenure (+risk, SHAP +0.78); Contract=Month-to-month (+risk, SHAP +0.63); MonthlyCharges (+risk, SHAP +0.52)"
4844-JJWUY,Month-to-month,1,0-6,Electronic check,Fiber optic,86.0,3,1,0.84506,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.31)"
6861-XWTWQ,Month-to-month,7,7-12,Electronic check,Fiber optic,99.25,5,1,0.84468746,At-risk,"Contract=Month-to-month (+risk, SHAP +0.61); MonthlyCharges (+risk, SHAP +0.45); tenure (+risk, SHAP +0.32)"
1400-MMYXY,Month-to-month,3,0-6,Electronic check,Fiber optic,105.9,6,1,0.8431786,At-risk,"Contract=Month-to-month (+risk, SHAP +0.61); tenure (+risk, SHAP +0.50); MonthlyCharges (+risk, SHAP +0.46)"
8372-JUXUI,Month-to-month,1,0-6,Electronic check,Fiber optic,74.35,2,1,0.8429147,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
7180-PISOG,Month-to-month,1,0-6,Electronic check,Fiber optic,74.5,2,1,0.84206724,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.30)"
8098-LLAZX,Month-to-month,4,0-6,Electronic check,Fiber optic,95.45,4,1,0.841417,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.48); MonthlyCharges (+risk, SHAP +0.24)"
8884-ADFVN,Month-to-month,7,7-12,Electronic check,Fiber optic,101.95,5,1,0.8412172,At-risk,"Contract=Month-to-month (+risk, SHAP +0.60); MonthlyCharges (+risk, SHAP +0.45); tenure (+risk, SHAP +0.31)"
1374-DMZUI,Month-to-month,4,0-6,Electronic check,Fiber optic,94.3,4,1,0.84119165,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.48); MonthlyCharges (+risk, SHAP +0.23)"
8375-DKEBR,Month-to-month,1,0-6,Electronic check,Fiber optic,69.6,1,1,0.8396905,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.38)"
7206-GZCDC,Month-to-month,1,0-6,Electronic check,Fiber optic,69.25,1,1,0.8396905,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.38)"
4871-JTKJF,Month-to-month,1,0-6,Electronic check,Fiber optic,69.65,1,1,0.8396905,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.38)"
2636-ALXXZ,Month-to-month,1,0-6,Electronic check,Fiber optic,69.6,1,1,0.8396905,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.38)"
5550-VFRLC,Month-to-month,1,0-6,Electronic check,Fiber optic,69.85,1,1,0.8396905,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.38)"
6496-SLWHQ,Month-to-month,3,0-6,Electronic check,Fiber optic,105.0,6,1,0.83949965,At-risk,"Contract=Month-to-month (+risk, SHAP +0.61); tenure (+risk, SHAP +0.49); MonthlyCharges (+risk, SHAP +0.43)"
5567-WSELE,Month-to-month,3,0-6,Electronic check,Fiber optic,94.6,4,1,0.8389401,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.51); InternetService=Fiber optic (+risk, SHAP +0.21)"
2506-TNFCO,Month-to-month,1,0-6,Electronic check,Fiber optic,69.55,1,1,0.838829,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
7851-WZEKY,Month-to-month,2,0-6,Electronic check,Fiber optic,95.15,4,1,0.83871436,At-risk,"Contract=Month-to-month (+risk, SHAP +0.64); tenure (+risk, SHAP +0.56); MonthlyCharges (+risk, SHAP +0.21)"
5150-ITWWB,Month-to-month,3,0-6,Electronic check,Fiber optic,94.85,4,0,0.8385048,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.50); InternetService=Fiber optic (+risk, SHAP +0.20)"
8062-YBDOE,Month-to-month,1,0-6,Electronic check,Fiber optic,69.65,1,1,0.83830744,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
5539-TMZLF,Month-to-month,1,0-6,Electronic check,Fiber optic,69.75,1,1,0.83830744,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
7503-ZGUZJ,Month-to-month,1,0-6,Mailed check,Fiber optic,84.65,3,1,0.8376616,At-risk,"tenure (+risk, SHAP +0.89); Contract=Month-to-month (+risk, SHAP +0.72); TotalCharges (+risk, SHAP +0.29)"
8000-REIQB,Month-to-month,1,0-6,Electronic check,Fiber optic,69.95,1,1,0.8372496,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
4695-WJZUE,Month-to-month,2,0-6,Electronic check,Fiber optic,88.55,4,1,0.83709985,At-risk,"Contract=Month-to-month (+risk, SHAP +0.69); tenure (+risk, SHAP +0.57); OnlineSecurity=No (+risk, SHAP +0.23)"
0679-IDSTG,Month-to-month,1,0-6,Electronic check,Fiber optic,69.25,1,1,0.83585626,At-risk,"tenure (+risk, SHAP +0.82); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
9603-OAIHC,Month-to-month,1,0-6,Electronic check,Fiber optic,70.05,1,0,0.83374006,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.37)"
3878-AVSOQ,Month-to-month,1,0-6,Electronic check,Fiber optic,71.25,1,0,0.8336859,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.35)"
9488-HGMJH,Month-to-month,1,0-6,Electronic check,Fiber optic,71.15,1,1,0.8336859,At-risk,"tenure (+risk, SHAP +0.81); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.35)"
2982-IHMFT,Month-to-month,1,0-6,Mailed check,Fiber optic,74.45,2,1,0.833391,At-risk,"tenure (+risk, SHAP +0.86); Contract=Month-to-month (+risk, SHAP +0.72); TotalCharges (+risk, SHAP +0.33)"
6618-RYATB,Month-to-month,1,0-6,Mailed check,Fiber optic,79.55,3,1,0.8332531,At-risk,"tenure (+risk, SHAP +0.90); Contract=Month-to-month (+risk, SHAP +0.72); TotalCharges (+risk, SHAP +0.31)"
2012-NWRPA,Month-to-month,11,7-12,Electronic check,Fiber optic,99.55,5,1,0.83273387,At-risk,"Contract=Month-to-month (+risk, SHAP +0.58); MonthlyCharges (+risk, SHAP +0.47); InternetService=Fiber optic (+risk, SHAP +0.28)"
3049-SOLAY,Month-to-month,3,0-6,Electronic check,Fiber optic,95.2,4,1,0.8323595,At-risk,"Contract=Month-to-month (+risk, SHAP +0.63); tenure (+risk, SHAP +0.52); MonthlyCharges (+risk, SHAP +0.23)"
8644-XLFBW,Month-to-month,1,0-6,Electronic check,Fiber optic,71.65,1,1,0.8322613,At-risk,"tenure (+risk, SHAP +0.80); Contract=Month-to-month (+risk, SHAP +0.71); TotalCharges (+risk, SHAP +0.35)"
4822-RVYBB,Month-to-month,8,7-12,Electronic check,Fiber optic,100.6,5,1,0.832169,At-risk,"Contract=Month-to-month (+risk, SHAP +0.59); MonthlyCharges (+risk, SHAP +0.44); InternetService=Fiber optic (+risk, SHAP +0.28)"
2545-EBUPK,Month-to-month,2,0-6,Electronic check,Fiber optic,84.05,3,0,0.83191323,At-risk,"Contract=Month-to-month (+risk, SHAP +0.68); tenure (+risk, SHAP +0.56); OnlineSecurity=No (+risk, SHAP +0.23)"
